purpose,year,amount
Air transport,1980,0.09733314
Air transport,1980,0.11466318
Air transport,1980,0.79053498
Air transport,1980,0.78578703
Air transport,1980,2.06061371
Air transport,1980,0.09870007
Air transport,1980,1.83271173
Air transport,1980,1.478685
Air transport,1980,0.44838052
Air transport,1980,0.39451969
Air transport,1980,2.08910146
Air transport,1980,0.24214585
Air transport,1980,0.57549522
Air transport,1980,0.82447339
Air transport,1980,8.54803342
Air transport,1980,1.01273941
Air transport,1980,0.68370593
Air transport,1980,1.16609845
Air transport,1980,0.18060045
Air transport,1980,0.83089263
Air transport,1980,0.99563252
Air transport,1980,0.10997457
Air transport,1980,0.11703716
Air transport,1980,0.86329744
Air transport,1980,0.71356109
Air transport,1980,1.82321582
Mineral/Metal prospection and exploration,1980,0.14243874
Mineral/Metal prospection and exploration,1980,0.05225104
Mineral/Metal prospection and exploration,1980,0.23542749
Mineral/Metal prospection and exploration,1980,0.39028214
Mineral/Metal prospection and exploration,1980,0.34505784
Mineral/Metal prospection and exploration,1980,0.04273162
Mineral/Metal prospection and exploration,1980,0.14186898
Mineral/Metal prospection and exploration,1980,0.08688763
Mineral/Metal prospection and exploration,1980,0.40060894
Air transport,1981,0.06025467
Air transport,1981,4.3370554
Air transport,1981,0.7499275
Air transport,1981,1.19137542
Air transport,1981,0.10624877
Air transport,1981,0.00587092
Air transport,1981,1.04290931
Air transport,1981,5.58141413
Air transport,1981,0.36477733
Air transport,1981,1.10498725
Air transport,1981,22.95950261
Air transport,1981,0.20316415
Air transport,1981,0.06291577
Air transport,1981,0.57471796
Air transport,1981,0.11649163
Air transport,1981,0.86865698
Air transport,1981,0.61860879
Air transport,1981,0.43967674
Air transport,1981,2.03261826
Air transport,1981,1.3023343
Air transport,1981,1.9969126
Air transport,1981,0.7573074
Air transport,1981,1.2033569
Mineral/Metal prospection and exploration,1981,0.25818778
Mineral/Metal prospection and exploration,1981,0.50736774
Mineral/Metal prospection and exploration,1981,0.59039155
Mineral/Metal prospection and exploration,1981,0.66744633
Mineral/Metal prospection and exploration,1981,0.38744446
Mineral/Metal prospection and exploration,1981,0.51355383
Mineral/Metal prospection and exploration,1981,0.1826437
Mineral/Metal prospection and exploration,1981,0.0394985
Mineral/Metal prospection and exploration,1981,0.12300439
Mineral/Metal prospection and exploration,1981,2.17055717
Mineral/Metal prospection and exploration,1981,0.50736774
Mineral/Metal prospection and exploration,1981,0.12174047
Air transport,1982,0.01907982
Air transport,1982,0.00691468
Air transport,1982,0.58590672
Air transport,1982,0.10433395
Air transport,1982,0.37058396
Air transport,1982,0.82325623
Air transport,1982,0.42956946
Air transport,1982,0.44892238
Air transport,1982,0.63586018
Mineral/Metal prospection and exploration,1982,9.973098
Mineral/Metal prospection and exploration,1982,0.59122571
Mineral/Metal prospection and exploration,1982,0.58508842
Mineral/Metal prospection and exploration,1982,0.01336702
Air transport,1983,0.70538468
Air transport,1983,1.47595542
Mineral/Metal prospection and exploration,1983,1.33092433
