recipient,coalesced_purpose_name,commitment_amount_usd_constant
Australia,Air transport,2414954172
Australia,Industrial development,8970500
Australia,Rail transport,68372551
Austria,Air transport,769908525
Belgium,Air transport,184346233
Brazil,Air transport,3456294682
Brazil,Industrial development,2239190928
Brazil,Power generat./non-renewable sources,88909517
Brazil,Power generation/non-renewable sources,1104061197
Brazil,Rail transport,461821343
Brazil,Rescheduling and refinancing,545529233
Canada,Air transport,4066635837
Canada,Industrial development,1961661
Chile,Air transport,778017409
Chile,Industrial development,714524615
Chile,Power generation/non-renewable sources,67384606
Chile,Rail transport,205663377
Chile,Rescheduling and refinancing,212544284
Colombia,Air transport,269052593
Colombia,Industrial development,889605230
Colombia,Power generation/non-renewable sources,1604240907
Colombia,Rail transport,378836463
Cyprus,Air transport,84362
Cyprus,Industrial development,10278526
Czech Republic,Air transport,519224550
Czech Republic,INDUSTRIAL DEVELOPMENT,509263
Czech Republic,Industrial development,166785799
Czech Republic,Power generation/non-renewable sources,114298672
Czech Republic,Rail transport,127170244
Denmark,Air transport,83221323
Estonia,Air transport,2730390
Estonia,Industrial development,38384141
Estonia,Power generation/non-renewable sources,2280910
Estonia,Rail transport,995819
Finland,Air transport,180621823
France,Air transport,237532627
Greece,Air transport,402975319
Greece,Industrial development,7939384
Greece,Power generation/non-renewable sources,10684686
Hungary,AIR TRANSPORT,330249
Hungary,Air transport,182987467
Hungary,INDUSTRIAL DEVELOPMENT,106081
Hungary,Industrial development,598909198
Hungary,Power generation/non-renewable sources,34277015
Hungary,RAIL TRANSPORT,5304
Hungary,Rail transport,72743
Iceland,Air transport,18060045
India,Air transport,2610213665
India,Industrial development,7015924502
India,Power generat./non-renewable sources,989844041
India,Power generation/non-renewable sources,8076194548
India,Rail transport,12267994807
India,Rescheduling and refinancing,2328414893
Ireland,Air transport,793462113
Ireland,Industrial development,52303341
Ireland,Power generation/non-renewable sources,88873275
Italy,Air transport,2356747779
Japan,Air transport,2080977585
Korea,Air transport,5260158081
Korea,Industrial development,1478248221
Korea,Power generation/non-renewable sources,1397886659
Korea,Rail transport,1037622161
Kuwait,Industrial development,278059881
Kuwait,Power generation/non-renewable sources,24748632
Latvia,Air transport,1086851
Latvia,Industrial development,29642043
Latvia,Power generation/non-renewable sources,150100
Latvia,Rail transport,330198
Lithuania,Air transport,25924539
Lithuania,Industrial development,37829784
Lithuania,POWER GENERAT./NON-RENEWABLE SOURCES,1236144
Lithuania,Power generation/non-renewable sources,3553993
Lithuania,Rail transport,252942
Luxembourg,Air transport,555039832
New Zealand,Air transport,22137111
New Zealand,Industrial development,203451199
Norway,Air transport,343290701
Poland,AIR TRANSPORT,10316
Poland,Air transport,819515491
Poland,INDUSTRIAL DEVELOPMENT,8140255
Poland,Industrial development,598549895
Poland,Power generation/non-renewable sources,452114
Poland,RAIL TRANSPORT,2602050
Poland,RESCHEDULING AND REFINANCING,13905028436
Poland,Rail transport,3017562
Portugal,Air transport,130233430
Portugal,Industrial development,270172
Qatar,Industrial development,80976522
Qatar,POWER GENERAT./NON-RENEWABLE SOURCES,42125
Qatar,Power generation/non-renewable sources,623401645
Romania,AIR TRANSPORT,659908
Romania,Air transport,269489522
Romania,INDUSTRIAL DEVELOPMENT,559066
Romania,Industrial development,252048225
Romania,Power generation/non-renewable sources,262418641
Romania,RAIL TRANSPORT,279437002
Romania,Rail transport,649960
Saudi Arabia,Air transport,3423114025
Saudi Arabia,Industrial development,476392183
Saudi Arabia,Power generation/non-renewable sources,126190249
Saudi Arabia,Rail transport,386553
Slovak Republic,Air transport,31781
Slovak Republic,INDUSTRIAL DEVELOPMENT,400380
Slovak Republic,Industrial development,3515182
Slovak Republic,Power generation/non-renewable sources,516136
Slovak Republic,Rail transport,17509
Slovenia,Industrial development,16925890
Slovenia,Rail transport,1237210
Slovenia,Rescheduling and refinancing,38210381
South Africa,Air transport,842799607
South Africa,Industrial development,85076116
South Africa,Power generation/non-renewable sources,70358237
South Africa,Rail transport,67008192
Spain,Air transport,86329744
Spain,Industrial development,7062587
Spain,Power generation/non-renewable sources,404165959
Sweden,Industrial development,35282669
Taiwan,Air transport,1631451348
Taiwan,INDUSTRIAL DEVELOPMENT,70830
Taiwan,Industrial development,617804370
Thailand,Air transport,4028252024
Thailand,Industrial development,3225195108
Thailand,Power generat./non-renewable sources,137589766
Thailand,Power generation/non-renewable sources,732482887
Thailand,Rail transport,5535190595
Thailand,Rescheduling and refinancing,589880
United Arab Emirates,Air transport,522553
United Arab Emirates,Industrial development,699213
United Kingdom,Air transport,957343964
