donor,coalesced_purpose_name,commitment_amount_usd_constant
Canada,Air transport,17802136
Canada,INDUSTRIAL DEVELOPMENT,663197
Canada,Industrial development,230403936
Canada,Power generat./non-renewable sources,108570
Canada,Power generation/non-renewable sources,53955929
Canada,Rail transport,194612
Canada,Rescheduling and refinancing,43475461
France,AIR TRANSPORT,10316
France,Air transport,117597922
France,INDUSTRIAL DEVELOPMENT,3686154
France,Industrial development,815924203
France,POWER GENERAT./NON-RENEWABLE SOURCES,42125
France,Power generat./non-renewable sources,191458138
France,Power generation/non-renewable sources,248892027
France,RAIL TRANSPORT,5304
France,Rail transport,714970851
France,Rescheduling and refinancing,221574709
Germany,Air transport,15829434
Germany,Industrial development,2175894275
Germany,Power generat./non-renewable sources,35041145
Germany,Power generation/non-renewable sources,1655507165
Germany,RESCHEDULING AND REFINANCING,13905028436
Germany,Rail transport,707698741
Germany,Rescheduling and refinancing,1277966127
Italy,Air transport,12425310
Italy,Industrial development,272810590
Italy,Power generat./non-renewable sources,186669744
Italy,Power generation/non-renewable sources,30414928
Italy,Rail transport,4741501
Italy,Rescheduling and refinancing,74692017
Japan,Air transport,2648419715
Japan,Industrial development,5099724732
Japan,Power generat./non-renewable sources,794455536
Japan,Power generation/non-renewable sources,4109371137
Japan,RAIL TRANSPORT,282006419
Japan,Rail transport,17932229619
Japan,Rescheduling and refinancing,972670673
Netherlands,Air transport,736409
Netherlands,Industrial development,67987191
Netherlands,Power generation/non-renewable sources,724396
Netherlands,Rail transport,42065271
Netherlands,Rescheduling and refinancing,47946095
Norway,Air transport,2390448
Norway,Industrial development,182874460
Norway,Power generation/non-renewable sources,80366
Norway,Rail transport,24172
Sweden,Air transport,4111883
Sweden,Industrial development,30654317
Sweden,Power generation/non-renewable sources,28715137
Sweden,Rail transport,4952049
United Kingdom,Air transport,228762898
United Kingdom,INDUSTRIAL DEVELOPMENT,5436524
United Kingdom,Industrial development,373381629
United Kingdom,POWER GENERAT./NON-RENEWABLE SOURCES,1236144
United Kingdom,Power generat./non-renewable sources,8341156
United Kingdom,Power generation/non-renewable sources,800109273
United Kingdom,Rail transport,228201406
United Kingdom,Rescheduling and refinancing,226510472
United States,AIR TRANSPORT,990157
United States,Air transport,36756692948
United States,Industrial development,9922151752
United States,Power generat./non-renewable sources,269035
United States,Power generation/non-renewable sources,7820850710
United States,RAIL TRANSPORT,32633
United States,Rail transport,521562007
United States,Rescheduling and refinancing,260453117
